Year,Month,Date,Hours,Minutes,Name,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Damage
1985,8,23,12,41,CHINA: S XINJIANG: WUQUA-SHUFU,39.431,75.224,7,7.5,71,162,5
1985,9,15,2,42,INDONESIA: NEW GUINEA: IRIAN JAYA: ENAROTALI,-4.13,136.049,10,6.3,10,7,
1985,9,19,13,17,MEXICO: MICHOACAN: MEXICO CITY,18.19,-102.533,28,8.1,9500,30000,4000
1985,10,13,15,59,"TAJIKISTAN: KAPTOLYUK, KAYRAKKUM, GAFUROV",40.301,69.823,16,5.9,29,80,200
1985,12,25,2,38,ITALY: SICILY,37.688,15.068,10,4.3,1,14,
1986,4,5,20,14,PERU: CUZCO,-13.41,-71.785,51,4.6,16,170,22
1986,4,26,7,35,"INDIA: KASHMIR: DHARMSALA, LAHORE, PAKISTAN",32.128,76.374,33,5.3,6,30,
1986,5,5,3,35,"TURKEY: DOGANSEHIR-GOLBASHI, KAPIDERE",37.993,37.806,10,5.9,15,100,5
1986,5,20,5,25,TAIWAN: HUALIEN,24.125,121.619,19,6.4,1,5,
1986,6,11,13,48,VENEZUELA,10.597,-62.928,19,6.2,2,45,1
1986,7,12,7,54,"IRAN: S, FARS PROVINCE, MAMASANI, SHIRAZ",29.962,51.582,10,5.6,1,4,
1986,8,30,21,28,"ROMANIA: BUCHAREST, KISHINEV-KAGUL",45.547,26.316,132,6.9,2,558,730
1986,9,13,17,24,"GREECE: KALAMI, LAKONIA, ZAKINTHOS",37.014,22.176,11,5.8,20,300,5
1986,10,10,17,49,EL SALVADOR: SAN SALVADOR,13.827,-89.118,7,5.4,1100,10000,1500
1986,11,14,21,20,"TAIWAN: TAIPEI, HUALIEN",23.901,121.574,34,7.8,15,44,
1986,12,7,14,17,BULGARIA: VELIKO TURNOVO-TURGOVISHTE,43.274,25.912,21,5.6,3,60,5
1987,1,26,11,11,"ALGERIA: MOHAMMADIA, QUED, FODDA, TISSEMSILT",35.964,1.374,10,4.3,1,7,1
1987,3,2,1,42,"NEW ZEALAND: NORTH ISLAND, WHAKATANI, EDGECUMBE",-37.965,176.765,19,6.6,1,25,210
